,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8
PRC_FULL_PAYMENT,0.1537318252318706,0.026062186107854664,0.2212027593582899,0.28032787511916113,0.036800747572815574,0.26948040449438276,0.07336033316248089,0.31953492941176476,0.22379435813953483,0.016904567371202175,0.26074540498922133,0.33235204777070065,0.04298209590643273,0.04303563262910797,0.25994061446153893,0.33447156507936515,0.22435998073089697,0.08333333333333333,0.016799878848063613,0.21597208005617968,0.36977479824561393,0.01740334955752219,0.25037510182767636,0.04297966344993968,0.2714147640029872,0.07142857142857142,0.2550026435205663,0.04346033209876543,0.2551657489270387,0.2139539371428571,0.016896965917076647,0.2502344261715299,0.07142857142857142,0.49770021428571437
TENURE,11.517934964800537,11.371629542790153,11.548573975044564,11.862726406101048,11.160194174757281,11.596369922212618,11.527421834956433,11.908823529411764,11.368770764119601,11.588177014531043,11.61718509393286,11.92356687898089,11.005847953216374,11.012910798122066,11.617538461538462,11.923809523809524,11.367441860465116,11.333333333333334,11.586229725256537,11.371488764044944,11.921052631578947,11.589516678012254,11.521322889469104,11.01568154402895,11.78790141896938,11.428571428571429,11.517912428129147,11.009876543209877,11.890557939914164,11.391428571428571,11.584680252986647,11.707338638373121,11.428571428571429,11.928571428571429
Monthly_Avg_Purchase,86.18480247097688,20.51538590106813,62.81001328345834,399.7883326998707,39.73973057172506,109.93515046096184,25.388538797120304,710.2897196757492,31.083733181602444,22.616542568304293,117.41675894032004,738.6239789937594,50.086248297511425,50.23484228603944,117.35076167565717,737.1434346160014,31.03228301548949,41.35083333333333,22.48456252791308,29.46674491858798,1160.19628708134,21.227226591009778,79.52226556469842,47.22433087988272,233.41295185208514,35.443571428571424,77.9930542269541,47.285751772575836,490.8608735051311,28.62584008219956,18.398551323647066,154.64184662623444,35.443571428571424,2153.4424642857143
Monthly_Avg_Cash,88.9844465032317,196.37573606031756,14.116197656224672,59.99457124736027,396.1540622030995,21.53501467500828,55.161393325223045,49.081171124754924,31.463111200526413,82.96771805680109,22.970914501408902,51.44345429617839,476.02780712229367,476.5780565529095,22.966046072612727,51.28014174285718,31.314741189507593,40.748018611111114,83.45290949601981,32.58049996113901,84.99917269883042,84.43813734920491,24.017634600442033,480.5639170433031,28.62600901630452,35.39842565476191,23.559953586487897,484.32321109934935,49.16917478520288,32.81247817715139,87.78591915291251,25.117951179231508,35.39842565476191,121.63332633928573
Limit_Usage,0.38892640897649133,0.6304609531552204,0.2174064827502181,0.3371299973136641,0.6437440625891662,0.278943332811818,0.4085729566445338,0.35991408104006434,0.04352141124720411,0.6150370609335971,0.2859260128791956,0.3584092016213471,0.5985125571564874,0.5984254083210421,0.28660205411030126,0.35740634306011526,0.04374189396756955,0.0004015539416666667,0.6159451679489695,0.04421708103402968,0.3682348822055112,0.6157676808610791,0.3000948799290438,0.5984347107458338,0.2843243232458022,0.0003442122166666667,0.29403584055110304,0.5962143517630201,0.3711080787414063,0.04394654273007994,0.6218773519104576,0.28029364690417397,0.0003442122166666667,0.40767076177226685
Pay_to_MinimumPay,9.06009384409704,3.6516235833086443,12.618008943441763,11.429757870742133,4.339427281195805,11.706765077697279,7.642258280207628,15.47345381531982,30.081736642393544,2.3248127540237653,5.9703399080300334,16.05125567294429,5.076544072701739,5.085298250855887,5.961371098822991,16.052234952031124,13.841762652702908,4077.503029275908,2.3231792956164186,12.757208806813408,21.04815430606387,2.3722198436794257,4.715498368061304,5.065398879125021,9.013102955798109,3777.0667428410443,4.73354592258911,5.161628665891301,12.683860206283104,12.861843090218727,2.33957519573299,7.50627346146541,3777.0667428410443,24.662878077977034
cluster_3,0.7359481506313554,0.0,1.0,2.0,0.07605177993527508,1.1757418611351196,0.4436186570989236,2.0,0.8837209302325582,0.2116908850726552,1.2001847859562673,2.0,0.10526315789473684,0.1056338028169014,1.1993846153846155,2.0,0.8830564784053156,1.0,0.20953326713008938,0.8757022471910112,2.0,0.19298842750170184,1.0278503046127068,0.08685162846803378,1.5705750560119491,1.0,1.031844316674038,0.08888888888888889,2.0,0.875,0.16830639494026703,1.3103448275862069,1.0,2.0
cluster_4,1.3738965247513688,1.2878077373974208,1.3856951871657754,1.6034318398474738,0.0,1.0,2.0,3.0,1.8325581395348838,1.738110964332893,1.0261780104712042,3.0,0.0,0.0,1.0261538461538462,3.0,1.8345514950166113,1.3333333333333333,1.736511089043363,1.8742977528089888,3.0,1.738938053097345,1.0317667536988686,0.0,1.3398058252427185,1.4285714285714286,1.0283060592658115,0.0,2.2832618025751072,1.8785714285714286,1.7255797610681658,1.1237842617152962,1.4285714285714286,3.0
cluster_5,1.5514582634931278,1.6726260257913248,1.2644830659536541,2.38512869399428,3.0849514563106797,1.8389513108614233,0.690415171706817,2.9235294117647057,0.0,1.0,2.0,3.0,4.0,4.0,1.9981538461538462,2.996825396825397,0.0053156146179402,0.0,1.002979145978153,0.009129213483146067,3.0,1.0108917631041525,1.9073107049608355,3.9975874547647767,2.1374159820761762,0.0,1.9000442282176029,3.9975308641975307,2.6266094420600856,0.002142857142857143,1.0235418130709768,1.8797524314765695,0.0,3.0
cluster_6,2.628673594815063,3.6661781946072685,2.160427807486631,1.257387988560534,1.5,1.2172284644194757,4.302921578677601,1.9264705882352942,3.003986710963455,4.9894319682959045,1.0015398829688944,2.0,0.017543859649122806,0.0,1.0,2.0,3.0,4.0,5.0,2.9985955056179776,2.0,4.970388019060586,1.2019147084421236,0.0012062726176115801,1.2195668409260643,3.857142857142857,1.2118531623175586,0.0012345679012345679,1.590128755364807,3.0014285714285713,4.962403373155306,1.4447391688770999,3.857142857142857,2.0
cluster_7,2.5630796737065595,2.398886283704572,2.27517825311943,4.328884652049571,3.394012944983819,3.4603860558916737,1.4097898513582778,3.6176470588235294,0.20066445182724252,2.049867899603699,3.6676932553125963,3.515923566878981,3.9941520467836256,4.001173708920188,3.668,3.5206349206349206,0.18006644518272424,6.0,2.0493214167494207,0.0,1.0,2.0,3.0,4.0,5.0,6.0,3.031844316674038,4.001234567901235,4.130901287553648,0.0014285714285714286,2.010892480674631,4.527851458885942,6.0,1.0
cluster_8,2.594591574477595,3.2362250879249705,2.001559714795009,3.0448045757864635,1.97168284789644,1.6562950158455776,3.6348026652998464,2.5,2.8883720930232557,3.927675033025099,1.610409608869726,2.5031847133757963,1.127485380116959,1.1173708920187793,1.612923076923077,2.5015873015873016,2.8777408637873756,6.0,3.929162528963919,3.026685393258427,3.2280701754385963,4.025867937372362,0.15100087032201914,1.0796139927623642,4.0545182972367435,6.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0
